Week,Nationality,Count
26/01/2024,Other,3
02/02/2024,Ukrainian,5
02/02/2024,Russian,2
02/02/2024,Other,3
09/02/2024,Ukrainian,4
09/02/2024,Russian,2
09/02/2024,Other,4
16/02/2024,Ukrainian,5
16/02/2024,Russian,1
16/02/2024,Other,4
23/02/2024,Ukrainian,4
23/02/2024,Russian,2
23/02/2024,Other,4
01/03/2024,Ukrainian,4
01/03/2024,Russian,2
01/03/2024,Other,4
08/03/2024,Ukrainian,5
08/03/2024,Russian,2
08/03/2024,Other,3
15/03/2024,Ukrainian,6
15/03/2024,Russian,2
15/03/2024,Other,2
22/03/2024,Ukrainian,6
22/03/2024,Russian,2
22/03/2024,Other,2
29/03/2024,Ukrainian,5
29/03/2024,Russian,2
29/03/2024,Other,3
05/04/2024,Ukrainian,5
05/04/2024,Russian,3
05/04/2024,Other,2
12/04/2024,Ukrainian,4
12/04/2024,Russian,3
12/04/2024,Other,3
19/04/2024,Ukrainian,5
19/04/2024,Russian,2
19/04/2024,Other,3
26/04/2024,Ukrainian,7
26/04/2024,Russian,2
26/04/2024,Other,1
03/05/2024,Ukrainian,6
03/05/2024,Russian,3
03/05/2024,Other,1
10/05/2024,Ukrainian,7
10/05/2024,Russian,2
10/05/2024,Other,1
17/05/2024,Ukrainian,6
17/05/2024,Russian,2
17/05/2024,Other,2
24/05/2024,Ukrainian,6
24/05/2024,Russian,2
24/05/2024,Other,2
31/05/2024,Ukrainian,6
31/05/2024,Russian,2
31/05/2024,Other,2
07/06/2024,Ukrainian,4
07/06/2024,Russian,3
07/06/2024,Other,3
14/06/2024,Ukrainian,5
14/06/2024,Russian,3
14/06/2024,Other,2
21/06/2024,Ukrainian,6
21/06/2024,Russian,2
21/06/2024,Other,2
28/06/2024,Ukrainian,4
28/06/2024,Russian,3
28/06/2024,Other,3
05/07/2024,Ukrainian,5
05/07/2024,Russian,1
05/07/2024,Other,4
12/07/2024,Ukrainian,4
12/07/2024,Russian,1
12/07/2024,Other,5
19/07/2024,Ukrainian,3
19/07/2024,Russian,2
19/07/2024,Other,5
26/07/2024,Ukrainian,2
26/07/2024,Russian,4
26/07/2024,Other,4
02/08/2024,Ukrainian,4
02/08/2024,Russian,3
02/08/2024,Other,3
09/08/2024,Ukrainian,5
09/08/2024,Russian,2
09/08/2024,Other,3
16/08/2024,Ukrainian,4
16/08/2024,Russian,3
16/08/2024,Other,3
23/08/2024,Ukrainian,4
23/08/2024,Russian,2
23/08/2024,Other,4
30/08/2024,Ukrainian,5
30/08/2024,Russian,1
30/08/2024,Other,4
06/09/2024,Ukrainian,3
06/09/2024,Russian,2
06/09/2024,Other,5
13/09/2024,Ukrainian,3
13/09/2024,Russian,3
13/09/2024,Other,4
20/09/2024,Ukrainian,4
20/09/2024,Russian,4
20/09/2024,Other,2
27/09/2024,Ukrainian,4
27/09/2024,Russian,2
27/09/2024,Other,4
04/10/2024,Ukrainian,3
04/10/2024,Russian,2
04/10/2024,Other,5
11/10/2024,Ukrainian,4
11/10/2024,Russian,1
11/10/2024,Other,5
18/10/2024,Ukrainian,4
18/10/2024,Russian,0
18/10/2024,Other,6
25/10/2024,Ukrainian,5
25/10/2024,Russian,0
25/10/2024,Other,5
01/11/2024,Ukrainian,4
01/11/2024,Russian,1
01/11/2024,Other,5
08/11/2024,Ukrainian,3
08/11/2024,Russian,2
08/11/2024,Other,5
15/11/2024,Ukrainian,5
15/11/2024,Russian,1
15/11/2024,Other,4
22/11/2024,Ukrainian,4
22/11/2024,Russian,1
22/11/2024,Other,5
29/11/2024,Ukrainian,5
29/11/2024,Russian,0
29/11/2024,Other,5
06/12/2024,Ukrainian,5
06/12/2024,Russian,1
06/12/2024,Other,4
13/12/2024,Ukrainian,5
13/12/2024,Russian,1
13/12/2024,Other,4
20/12/2024,Ukrainian,6
20/12/2024,Russian,1
20/12/2024,Other,3
27/12/2024,Ukrainian,5
27/12/2024,Russian,2
27/12/2024,Other,3
03/01/2025,Ukrainian,5
03/01/2025,Russian,2
03/01/2025,Other,3
10/01/2025,Ukrainian,5
10/01/2025,Russian,2
10/01/2025,Other,3
17/01/2025,Ukrainian,6
17/01/2025,Russian,1
17/01/2025,Other,3
24/01/2025,Ukrainian,6
24/01/2025,Russian,1
24/01/2025,Other,3
