"name","latitude","longitude"
"Немережеві книгарні",50.451111,30.521389
"Немережеві книгарні",49.022778,24.362222
"Немережеві книгарні",48.920556,24.705556
"Немережеві книгарні",49.839722,24.038333
"Немережеві книгарні",48.463611,35.033056
"Немережеві книгарні",48.677778,26.59
"Немережеві книгарні",48.622222,22.299722
"Немережеві книгарні",48.617222,22.286667
"Немережеві книгарні",48.604167,22.285
"Немережеві книгарні",50.451667,30.51
"Немережеві книгарні",50.127222,30.649722
"Немережеві книгарні",51.22,24.709722
"Немережеві книгарні",50.454722,30.508333
"Немережеві книгарні",50.743889,25.320556
"Немережеві книгарні",50.326944,30.468611
"Немережеві книгарні",48.024444,33.470556
"Немережеві книгарні",49.583056,34.553611
"Немережеві книгарні",46.435556,30.758333
"Немережеві книгарні",51.4975,31.290556
"Немережеві книгарні",46.304444,30.654722
"Немережеві книгарні",46.973056,31.992778
"Немережеві книгарні",46.973056,31.992778
"Немережеві книгарні",47.909722,33.393889
"Немережеві книгарні",49.793611,30.115556
"Немережеві книгарні",49.793333,30.115833
"Немережеві книгарні",49.802222,30.115833
"Немережеві книгарні",49.7675,30.127222
"Немережеві книгарні",48.919722,24.711111
"Немережеві книгарні",50.442778,30.546111
"Немережеві книгарні",47.907778,33.342778
"Немережеві книгарні",49.840556,24.034722
"Немережеві книгарні",49.837778,24.035278
"Немережеві книгарні",48.62,22.295278
"Немережеві книгарні",48.293611,25.936667
"Немережеві книгарні",50.612778,26.251944
"Немережеві книгарні",49.588333,34.552778
"Немережеві книгарні",49.438056,22.999722
"Немережеві книгарні",50.553611,30.277778
"Немережеві книгарні",49.235833,28.470556
"Немережеві книгарні",49.588611,34.555556
"Немережеві книгарні",50.457222,30.366111
"Немережеві книгарні",49.557222,25.633333
"Немережеві книгарні",49.438056,32.065556
"Немережеві книгарні",46.574722,30.798056
"Немережеві книгарні",50.746111,25.326111
"Немережеві книгарні",50.384444,30.484444
"Немережеві книгарні",50.619722,26.250278
"Немережеві книгарні",49.409444,32.049444
"Немережеві книгарні",51.346111,25.847222
"Немережеві книгарні",49.427778,32.09
"Немережеві книгарні",50.619722,26.249444
"Немережеві книгарні",50.45,30.513333
"Немережеві книгарні",50.254722,28.662778
"Немережеві книгарні",49.585278,34.555278
"Немережеві книгарні",50.744444,25.346389
"Немережеві книгарні",50.619722,26.250278
"Немережеві книгарні",49.546667,25.5725
"Немережеві книгарні",50.431667,30.516389
"Немережеві книгарні",48.679444,26.583333
"Немережеві книгарні",49.256111,23.850278
"Немережеві книгарні",49.423056,26.980833
"Немережеві книгарні",50.612222,26.263611
"Немережеві книгарні",50.468333,30.51
"Немережеві книгарні",51.491111,31.300556
"Немережеві книгарні",49.444722,24.938889
"Немережеві книгарні",45.678611,28.612222
"Немережеві книгарні",49.025278,24.368056
"Немережеві книгарні",50.457222,30.366111
"Немережеві книгарні",50.451667,30.525833
"Немережеві книгарні",51.212778,24.710833
"Немережеві книгарні",50.755278,25.346944
"Немережеві книгарні",49.828889,24.031389
"Немережеві книгарні",49.8425,24.032778
"Немережеві книгарні",48.440833,22.7225
"Немережеві книгарні",50.079167,29.917778
"Немережеві книгарні",48.446389,24.552778
"Немережеві книгарні",48.441389,22.719167
"Немережеві книгарні",48.507778,34.609167
"Немережеві книгарні",48.571389,34.595556
"Немережеві книгарні",49.836389,24.003611
"Немережеві книгарні",49.842222,24.0325
"Немережеві книгарні",49.8375,24.030833
"Немережеві книгарні",50.746111,25.338333
"Немережеві книгарні",49.22,28.450833
"Немережеві книгарні",48.808611,29.406944
"Немережеві книгарні",48.685833,29.236944
"Немережеві книгарні",50.486944,30.497222
"Немережеві книгарні",46.473056,30.737222
"Немережеві книгарні",50.470278,30.519444
"Немережеві книгарні",48.754722,30.216667
"Немережеві книгарні",50.257222,28.671389
"Немережеві книгарні",48.033611,33.478056
"Немережеві книгарні",47.908333,33.416667
"Немережеві книгарні",49.869167,23.949444
"Немережеві книгарні",49.809722,24.000278
"Немережеві книгарні",50.326111,26.523889
"Немережеві книгарні",50.302778,34.898056
"Немережеві книгарні",50.328333,26.528056
"Немережеві книгарні",50.621111,26.2325
"Немережеві книгарні",46.857222,32.016389
"Немережеві книгарні",50.255,28.6625
"Немережеві книгарні",49.838889,24.028056
"Немережеві книгарні",48.476389,35.022778
"Немережеві книгарні",50.577778,34.476389
"Немережеві книгарні",50.748889,33.486389
"Немережеві книгарні",51.238333,33.210556
"Немережеві книгарні",50.3025,34.896944
"Немережеві книгарні",50.908889,34.796111
"Немережеві книгарні",48.011944,23.570833
"Немережеві книгарні",50.463333,30.5075
"Немережеві книгарні",48.529722,25.040278
"Немережеві книгарні",48.525,25.038611
"Немережеві книгарні",49.560833,25.646111
"Немережеві книгарні",49.575278,25.639444
"Немережеві книгарні",49.553333,25.599167
"Немережеві книгарні",49.539167,25.586667
"Немережеві книгарні",49.018333,25.797222
"Немережеві книгарні",49.836944,24.030833
"Немережеві книгарні",50.466944,30.514444
"Немережеві книгарні",48.505556,32.261667
"Немережеві книгарні",50.305833,34.892222
"Немережеві книгарні",48.619722,22.288889
